book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 비주얼 베이직 프로그래밍 : 윈도우 프로그래밍의 첫 걸음",고응남 ,,2007-10-26,9788979145007
테스트 주도 개발 : 고품질 쾌속개발을 위한 TDD 실천법과 도구,채수원 ,,2010-06-08,9788979147261
우분투 환경에서 C 언어로 배우는 리눅스 프로그래밍,이이오 준 ,김성재 ,2012-09-24,9788979149531
"IT CookBook, 비주얼 베이직 2010 for Beginner",임관철 ,,2015-02-26,9791156641728
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 ",,2013-03-20,9788998756161
프로그래밍은 상상이다,임백준 ,,2008-09-01,9788979145946
MongoDB 완벽 가이드 : NoSQL의 진수를 만나다!,"크리스티나 초도로우 , 마이클 디롤프 ",윤진석 ,2011-05-19,9788979148251
회사에서 바로 통하는 파워포인트 2010,"이상훈 , 김연희 ",,2011-05-03,9788979148015
이것이 C 언어다,서현우 ,,2014-05-20,9788968481024
뇌를 자극하는 Windows Server 2012 R2,우재남 ,,2016-02-05,9788968482366
"jQuery 최고의 교과서 : 디자이너, 퍼블리셔, 개발자를 위한 처음 시작하는 제이쿼리",주식회사 시프트브레인 ,송태민(어비) ,2015-01-28,9788968481574
"IT CookBook, New 정보통신개론 : 기본 이론부터 사물인터넷 개념까지",고응남 ,,2015-07-03,9791156641957
엔트리 : 창의력과 문제해결능력 향상을 위한 첫걸음,"최현종 , 이상열 , 박지현 , 이현아 ",,2016-03-17,9788968482649
뇌를 자극하는 C 프로그래밍,서현우 ,,2005-10-01,8979143443
프로그래머의 리더십,정영훈 ,,2015-01-05,9788968481512
엑셀 2010 바이블,최준선 ,,2011-09-28,9788979148541
"IT CookBook, 액세스 2007 for Beginner",박명철 ,,2008-12-28,9788979146097
"IT CookBook, Compact C 프로그래밍",김충석 ,,2014-12-15,9791156641483
누워서 읽는 퍼즐북 : 뉴욕의 프로그래머 임백준의 퍼즐이야기,임백준 ,,2010-01-15,9788979147193
"IT CookBook, C 언어 트레이닝",김상형 ,,2017-12-04,9791156643609
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,,2016-12-30,9791156643067
"IT CookBook, 파워포인트 2010 실무와 활용",고경희 ,,2014-02-24,9788998756949
"이것이 레디스다 : 초고속 읽기 쓰기를 제공하는 인메모리 기반 NoSQL, Redis",정경석 ,,2013-11-28,9788968480591
"IT CookBook, 네트워크 개론(개정판) : 쉽게 배우는 네트워크의 기본 원리",진혜진 ,,2014-01-07,9788998756734
회사에서 바로 통하는 엑셀+파워포인트+워드 2010,"전미진 , 이화진 , 신면철 ",,2011-08-22,9788979148534
정보교과교육론(증보판) : 소프트웨어 교육을 위한 필수 지침서,"이태욱 , 최현종 ",,2016-03-03,9791156642510
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크",박기현 ,,2013-09-15,9788998756611
"Blog2Book, 프로젝트 관리자PM를 위한 프로젝트 관리 이야기",신진현 ,,2015-02-27,9788968481048
"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 ,,2014-11-27,9791156641421
회사에서 바로 통하는 엑셀 2010,한은숙 ,,2011-03-23,9788979147865
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",,2010-09-16,9788979147636
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,윤인성 ,2013-10-28,9788968480553
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,,2014-02-24,9788998756802
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
자바 네트워크 소녀 네티,정경석 ,,2015-10-22,9788968482243
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",,2013-03-20,9788998756154
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO,"전미진 , 이화진 , 신면철 ",,2017-07-12,9788968483363
엑셀 2010 함수 바이블,이동숙 ,,2011-02-28,9788979148084
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,,2012-09-17,9788979149630
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,,2013-07-28,9788998756536
